UniProt_ID,BindingDB_ID,chEMBL_ID,Molecule_name,IN_KI
Q59H18,BDBM5446,CHEMBL553,ERLOTINIB,IK27574
Q59H18,BDBM5655,CHEMBL428690,ALVOCIDIB,IK27575
Q59H18,BDBM5447,CHEMBL939,GEFITINIB,IK27576
Q59H18,BDBM32362,CHEMBL261849,GW632580X,IK27577
Q59H18,BDBM26474,CHEMBL477772,PAZOPANIB,IK27578
Q59H18,BDBM13530,CHEMBL941,IMATINIB,IK27579
Q59H18,BDBM6866,CHEMBL191003,JNJ7706621,IK27580
Q59H18,BDBM5445,CHEMBL554,LAPATINIB,IK27581
Q59H18,BDBM17055,CHEMBL91829,RUBOXISTAURIN,IK27582
Q59H18,BDBM13535,CHEMBL124660,TANDUTINIB,IK27583
Q59H18,BDBM31093,CHEMBL259084,MLN8054,IK27584
Q59H18,BDBM25045,CHEMBL573339,PI103,IK27585
Q59H18,BDBM4851,CHEMBL101253,VATALANIB,IK27586
Q59H18,BDBM7533,CHEMBL14762,SELICICLIB,IK27587
Q59H18,BDBM13531,CHEMBL278041,SB202190,IK27588
Q59H18,BDBM13336,CHEMBL10,SB203580,IK27589
Q59H18,BDBM50110208,CHEMBL440084,SB431542,IK27590
Q59H18,BDBM16673,CHEMBL1336,SORAFENIB,IK27591
Q59H18,BDBM31095,CHEMBL1721885,SU014813,IK27592
Q59H18,BDBM4814,CHEMBL535,SUNITINIB,IK27593
Q59H18,BDBM13534,CHEMBL572878,TOZASERTIB,IK27594
Q59H18,BDBM15244,CHEMBL119385,NEFLAMAPIMOD,IK27595
Q59H18,BDBM21,CHEMBL24828,VANDETANIB,IK27596
P00519,BDBM4552,CHEMBL288441,BOSUTINIB,IK27597
P00519,BDBM24773,CHEMBL572881,MOTESANIB,IK27598
P00519,BDBM31085,CHEMBL574738,AST487,IK27599
P00519,BDBM13533,CHEMBL103667,DORAMAPIMOD,IK27600
P00519,BDBM25118,CHEMBL522892,DOVITINIB,IK27601
P00519,BDBM31088,CHEMBL558752,RAF265,IK27602
P00519,BDBM4779,CHEMBL31965,CANERTINIB,IK27603
P00519,BDBM13216,CHEMBL1421,DASATINIB,IK27604
P00519,BDBM31090,CHEMBL607707,PELITINIB,IK27605
P00519,BDBM5446,CHEMBL553,ERLOTINIB,IK27606
P00519,BDBM26474,CHEMBL477772,PAZOPANIB,IK27607
P00519,BDBM13530,CHEMBL941,IMATINIB,IK27608
P00519,BDBM6866,CHEMBL191003,JNJ7706621,IK27609
P00519,BDBM31093,CHEMBL259084,MLN8054,IK27610
P00519,BDBM31095,CHEMBL1721885,SU014813,IK27611
P00519,BDBM16673,CHEMBL1336,SORAFENIB,IK27612
P00519,BDBM4814,CHEMBL535,SUNITINIB,IK27613
P00519,BDBM13534,CHEMBL572878,TOZASERTIB,IK27614
P00519,BDBM15244,CHEMBL119385,NEFLAMAPIMOD,IK27615
P00519,BDBM21,CHEMBL24828,VANDETANIB,IK27616
P00519,BDBM31085,CHEMBL574738,AST487,IK27617
P00519,BDBM25118,CHEMBL522892,DOVITINIB,IK27618
P00519,BDBM31088,CHEMBL558752,RAF265,IK27619
P00519,BDBM4779,CHEMBL31965,CANERTINIB,IK27620
P00519,BDBM13216,CHEMBL1421,DASATINIB,IK27621
P00519,BDBM31090,CHEMBL607707,PELITINIB,IK27622
P00519,BDBM5446,CHEMBL553,ERLOTINIB,IK27623
P00519,BDBM13530,CHEMBL941,IMATINIB,IK27624
P00519,BDBM6866,CHEMBL191003,JNJ7706621,IK27625
P00519,BDBM31093,CHEMBL259084,MLN8054,IK27626
P00519,BDBM16673,CHEMBL1336,SORAFENIB,IK27627
P00519,BDBM4814,CHEMBL535,SUNITINIB,IK27628
P00519,BDBM13534,CHEMBL572878,TOZASERTIB,IK27629
P00519,BDBM21,CHEMBL24828,VANDETANIB,IK27630
P00519,BDBM31085,CHEMBL574738,AST487,IK27631
P00519,BDBM25118,CHEMBL522892,DOVITINIB,IK27632
P00519,BDBM31088,CHEMBL558752,RAF265,IK27633
P00519,BDBM4779,CHEMBL31965,CANERTINIB,IK27634
P00519,BDBM13216,CHEMBL1421,DASATINIB,IK27635
P00519,BDBM31090,CHEMBL607707,PELITINIB,IK27636
P00519,BDBM5446,CHEMBL553,ERLOTINIB,IK27637
P00519,BDBM13530,CHEMBL941,IMATINIB,IK27638
